"","X","Player","Pos","Height","Weight","Age","Age21"
"242",242,"Ryan Gomes","F",79,245,31,">21"
"243",243,"Andre Roberson","F",79,206,21,"<=21"
"244",244,"Richard Howell","F",79,250,22,">21"
"245",245,"Richard Jefferson","F",79,230,33,">21"
"246",246,"Klay Thompson","G",79,205,23,">21"
"247",247,"Draymond Green","F",79,230,23,">21"
"248",248,"Jared Dudley","F",79,225,28,">21"
"249",249,"Matt Barnes","F",79,226,33,">21"
"250",250,"Reggie Bullock","F",79,200,22,">21"
"251",251,"Marcus Landry","F",79,230,27,">21"
"252",252,"Wesley Johnson","G",79,215,26,">21"
"253",253,"Brandon Bass","F",80,250,28,">21"
"254",254,"Reggie Evans","F",80,245,33,">21"
"255",255,"Mirza Teletovic","F",80,235,28,">21"
"256",256,"Carmelo Anthony","F",80,230,29,">21"
"257",257,"Royce White","F",80,260,22,">21"
"258",258,"Thaddeus Young","F",80,220,25,">21"
"259",259,"Chris Wright","F",80,218,24,">21"
"260",260,"Linas Kleiza","F",80,248,28,">21"
"261",261,"Rudy Gay","F",80,230,27,">21"
"262",262,"Luke Walton","F",80,235,33,">21"
"263",263,"Anthony Bennett","F",80,240,20,"<=21"
"264",264,"Kyle Singler","F",80,230,25,">21"
"265",265,"Paul George","F",80,210,23,">21"
"266",266,"Danny Granger","F",80,228,30,">21"
"267",267,"Paul Millsap","F",80,253,28,">21"
"268",268,"DeMarre Carroll","F",80,212,27,">21"
"269",269,"Mike Scott","F",80,237,25,">21"
"270",270,"James Southerland","F",80,221,23,">21"
"271",271,"Anthony Tolliver","F",80,240,28,">21"
"272",272,"Eric Griffin","F",80,190,23,">21"
"273",273,"LeBron James","F",80,250,28,">21"
"274",274,"James Jones","G",80,215,32,">21"
"275",275,"Shane Battier","F",80,220,35,">21"
"276",276,"Udonis Haslem","F",80,235,33,">21"
"277",277,"Tobias Harris","F",80,226,21,"<=21"
"278",278,"Moe Harkless","F",80,218,20,"<=21"
"279",279,"Romero Osby","F",80,232,23,">21"
"280",280,"Trevor Ariza","G",80,210,28,">21"
"281",281,"Chris Singleton","F",80,230,23,">21"
"282",282,"Trevor Booker","F",80,240,25,">21"
"283",283,"Tony Gaffney","F",80,205,28,">21"
"284",284,"Mike Miller","F",80,218,33,">21"
"285",285,"Lance Thomas","F",80,225,25,">21"
"286",286,"Darius Miller","G",80,235,23,">21"
"287",287,"Boris Diaw","C",80,235,31,">21"
"288",288,"Wilson Chandler","F",80,225,26,">21"
"289",289,"Kenneth Faried","F",80,228,23,">21"
"290",290,"Derrick Williams","F",80,241,22,">21"
"291",291,"Dante Cunningham","F",80,230,26,">21"
"292",292,"Nicolas Batum","F",80,200,24,">21"
"293",293,"Gordon Hayward","F",80,207,23,">21"
"294",294,"Harrison Barnes","F",80,210,21,"<=21"
"295",295,"Elias Harris","F",80,239,24,">21"
"296",296,"Gerald Green","F",80,200,27,">21"
"297",297,"DeQuan Jones","G",80,221,23,">21"
"298",298,"Luc Mbah a Moute","F",80,230,27,">21"
"299",299,"Jared Sullinger","F",81,260,21,"<=21"
